pub_date;amnt_base;amnt_trade;id;price;type;user;
16 декабря 2017 г. 16:09:22;1425.9493670000;2.9522760000;325299;483.0000199846;buy;Lexir;
16 декабря 2017 г. 16:09:22;48.0333560000;0.0994500000;325298;482.9900050277;sell;Matro;
16 декабря 2017 г. 16:09:22;48.0333560000;0.0994500000;325297;482.9900050277;buy;Lexir;
16 декабря 2017 г. 16:09:22;198.7931540000;0.4238660000;325296;469.0000000000;sell;yevgen11;
16 декабря 2017 г. 16:09:22;198.7931540000;0.4238660000;325295;469.0000000000;buy;Lexir;
16 декабря 2017 г. 22:09:41;938.9359990000;2.0279400000;336456;462.9998910224;buy;Lisiyjeka;
16 декабря 2017 г. 22:09:41;938.9359990000;2.0279400000;336455;462.9998910224;sell;olegmp;
16 декабря 2017 г. 21:49:35;731.5860450000;1.5801000000;335776;462.9998386178;buy;Lisiyjeka;
16 декабря 2017 г. 21:49:35;731.5860450000;1.5801000000;335775;462.9998386178;sell;yanochka;
16 декабря 2017 г. 21:49:35;185.2000000000;0.4000000000;335774;463.0000000000;buy;revikros;
16 декабря 2017 г. 21:49:35;185.2000000000;0.4000000000;335773;463.0000000000;sell;yanochka;
17 декабря 2017 г. 1:33:57;12.4000000000;0.0250000000;340470;496.0000000000;sell;Lexir;
17 декабря 2017 г. 1:33:57;12.4000000000;0.0250000000;340469;496.0000000000;buy;misteermishka;
17 декабря 2017 г. 11:34:24;50.5458400000;0.1089350000;345962;464.0000000000;buy;karamba1900;
17 декабря 2017 г. 11:34:24;50.5458400000;0.1089350000;345961;464.0000000000;sell;loaaary;
17 декабря 2017 г. 11:26:33;0.4748010000;0.0010100000;345824;470.1000000000;buy;sanyok523;
17 декабря 2017 г. 11:26:33;0.4748010000;0.0010100000;345823;470.1000000000;sell;loaaary;
17 декабря 2017 г. 12:22:58;216.7396560000;0.4671110000;347190;464.0003254045;buy;karamba1900;
17 декабря 2017 г. 12:22:58;216.7396560000;0.4671110000;347189;464.0003254045;sell;AlexMayhew;
17 декабря 2017 г. 12:16:22;35.9448030000;0.0774670000;346926;464.0014845031;buy;karamba1900;
17 декабря 2017 г. 12:16:22;35.9448030000;0.0774670000;346925;464.0014845031;sell;monkius;
17 декабря 2017 г. 13:34:50;464.6143360000;1.0013240000;349882;464.0000000000;buy;karamba1900;
17 декабря 2017 г. 13:34:50;464.6143360000;1.0013240000;349881;464.0000000000;sell;snikerszp;
17 декабря 2017 г. 15:43:35;8.8177980000;0.0178860000;353028;493.0000000000;sell;NEVIL;
17 декабря 2017 г. 15:43:35;8.8177980000;0.0178860000;353027;493.0000000000;buy;BogdanLO;
17 декабря 2017 г. 15:23:43;9.4020000000;0.0200000000;352358;470.1000000000;sell;andrey678;
17 декабря 2017 г. 15:23:43;9.4020000000;0.0200000000;352357;470.1000000000;buy;Stas9987;
17 декабря 2017 г. 16:24:44;10.8289200000;0.0220100000;354204;492.0000000000;sell;NEVIL;
17 декабря 2017 г. 16:24:44;10.8289200000;0.0220100000;354203;492.0000000000;buy;misha1985;
17 декабря 2017 г. 16:24:44;9.8350800000;0.0199900000;354202;492.0000000000;sell;Stas9987;
17 декабря 2017 г. 16:24:44;9.8350800000;0.0199900000;354201;492.0000000000;buy;misha1985;
17 декабря 2017 г. 17:37:35;2.6361310000;0.0053580000;356190;491.9990668160;buy;slavkoif;
17 декабря 2017 г. 17:37:35;2.6361310000;0.0053580000;356189;491.9990668160;sell;Matro;
17 декабря 2017 г. 17:34:37;20.6536260000;0.0419790000;356084;491.9989994997;sell;misha1985;
17 декабря 2017 г. 17:34:37;20.6536260000;0.0419790000;356083;491.9989994997;buy;slavkoif;
17 декабря 2017 г. 17:34:37;29.5465080000;0.0600540000;356082;491.9990008992;sell;NEVIL;
17 декабря 2017 г. 17:34:37;29.5465080000;0.0600540000;356081;491.9990008992;buy;slavkoif;
18 декабря 2017 г. 7:40:20;1.0000000000;0.0021270000;367392;470.1457451810;buy;cpp1PP;
18 декабря 2017 г. 7:40:20;1.0000000000;0.0021270000;367391;470.1457451810;sell;sanek1979;
18 декабря 2017 г. 9:04:05;183.4273860000;0.3936210000;368032;466.0000000000;buy;Theurvaeth;
18 декабря 2017 г. 9:04:05;183.4273860000;0.3936210000;368031;466.0000000000;sell;maz85;
18 декабря 2017 г. 10:45:17;123.0240000000;0.2640000000;369366;466.0000000000;sell;maz85;
18 декабря 2017 г. 10:45:17;123.0240000000;0.2640000000;369365;466.0000000000;buy;Zevs60;
18 декабря 2017 г. 10:53:34;0.2279010000;0.0004850000;369514;469.8989690722;sell;sanek1979;
18 декабря 2017 г. 10:53:34;0.2279010000;0.0004850000;369513;469.8989690722;buy;JaneDavis;
18 декабря 2017 г. 10:53:34;0.0228340000;0.0000490000;369511;466.0000000000;buy;JaneDavis;
18 декабря 2017 г. 13:16:40;2.6622550000;0.0056630000;372240;470.1138972276;buy;JaneDavis;
18 декабря 2017 г. 13:16:40;2.6622550000;0.0056630000;372239;470.1138972276;sell;alinacoin;
18 декабря 2017 г. 15:38:31;129.2926810000;0.2638680000;375094;489.9899987873;buy;maddmax77;
18 декабря 2017 г. 15:38:31;129.2926810000;0.2638680000;375093;489.9899987873;sell;Zevs60;
18 декабря 2017 г. 15:33:27;0.4946430000;0.0010100000;374992;489.7455445545;sell;sanyok523;
18 декабря 2017 г. 15:33:27;0.4946430000;0.0010100000;374991;489.7455445545;buy;maddmax77;
18 декабря 2017 г. 15:33:27;429.0822500000;0.8756960000;374990;489.9899622700;sell;ankka1981;
18 декабря 2017 г. 15:33:27;429.0822500000;0.8756960000;374989;489.9899622700;buy;maddmax77;
18 декабря 2017 г. 16:46:48;192.7738260000;0.3934240000;376808;489.9900006100;buy;maddmax77;
18 декабря 2017 г. 16:46:48;192.7738260000;0.3934240000;376807;489.9900006100;sell;Theurvaeth;
18 декабря 2017 г. 16:35:39;35.5930020000;0.0726400000;376640;489.9917676211;buy;maddmax77;
18 декабря 2017 г. 16:35:39;35.5930020000;0.0726400000;376639;489.9917676211;sell;vanya24;
18 декабря 2017 г. 17:29:27;192.7434460000;0.3933620000;377756;489.9899990340;buy;maddmax77;
18 декабря 2017 г. 17:29:27;192.7434460000;0.3933620000;377755;489.9899990340;sell;tolkoton81;
18 декабря 2017 г. 21:05:10;317.5175880000;0.6813680000;382004;466.0001467636;buy;Theurvaeth;
18 декабря 2017 г. 21:05:10;317.5175880000;0.6813680000;382003;466.0001467636;sell;fotopik;
18 декабря 2017 г. 21:05:10;307.3414460000;0.6595310000;382002;466.0000000000;buy;Theurvaeth;
18 декабря 2017 г. 21:05:10;307.3414460000;0.6595310000;382001;466.0000000000;sell;fotopik;
18 декабря 2017 г. 20:23:55;428.8675250000;0.9028790000;381026;475.0000000000;sell;Lisiyjeka;
18 декабря 2017 г. 20:23:55;428.8675250000;0.9028790000;381025;475.0000000000;buy;ankka1981;
18 декабря 2017 г. 21:50:47;1.2350000000;0.0026000000;383042;475.0000000000;sell;Lisiyjeka;
18 декабря 2017 г. 21:50:47;1.2350000000;0.0026000000;383041;475.0000000000;buy;financeuser1;
18 декабря 2017 г. 21:49:45;179.4786020000;0.3851470000;383036;466.0002596411;sell;fio43;
18 декабря 2017 г. 21:49:45;179.4786020000;0.3851470000;383035;466.0002596411;buy;Katerinka74;
18 декабря 2017 г. 21:46:44;6.8281980000;0.0146530000;383004;465.9931754590;buy;Theurvaeth;
18 декабря 2017 г. 21:46:44;6.8281980000;0.0146530000;383003;465.9931754590;sell;fio43;
18 декабря 2017 г. 22:50:52;102.4687400000;0.2198900000;384542;466.0000000000;buy;Katerinka74;
18 декабря 2017 г. 22:50:52;102.4687400000;0.2198900000;384541;466.0000000000;sell;Slavanchik7;
19 декабря 2017 г. 1:09:23;3.7049460000;0.0079510000;387428;465.9723305245;buy;Katerinka74;
19 декабря 2017 г. 1:09:23;3.7049460000;0.0079510000;387427;465.9723305245;sell;AlexVoitenko;
19 декабря 2017 г. 1:08:23;736.2800000000;1.5800000000;387408;466.0000000000;buy;Katerinka74;
19 декабря 2017 г. 1:08:23;736.2800000000;1.5800000000;387407;466.0000000000;sell;AlexVoitenko;
19 декабря 2017 г. 0:55:52;32.0625000000;0.0675000000;387098;475.0000000000;sell;Lisiyjeka;
19 декабря 2017 г. 0:55:52;32.0625000000;0.0675000000;387097;475.0000000000;buy;irmak351;
19 декабря 2017 г. 1:52:07;534.4301000000;1.1251160000;387938;475.0000000000;sell;Lisiyjeka;
19 декабря 2017 г. 1:52:07;534.4301000000;1.1251160000;387937;475.0000000000;buy;Skoch;
19 декабря 2017 г. 1:13:39;8.5500000000;0.0180000000;387496;475.0000000000;sell;Lisiyjeka;
19 декабря 2017 г. 1:13:39;8.5500000000;0.0180000000;387495;475.0000000000;buy;AntonyukVV;
19 декабря 2017 г. 10:10:10;4.2659100000;0.0090000000;392062;473.9900000000;sell;Lisiyjeka;
19 декабря 2017 г. 10:10:10;4.2659100000;0.0090000000;392061;473.9900000000;buy;traicer;
19 декабря 2017 г. 10:09:26;9.4798000000;0.0200000000;392048;473.9900000000;sell;Lisiyjeka;
19 декабря 2017 г. 10:09:26;9.4798000000;0.0200000000;392047;473.9900000000;buy;traicer;
19 декабря 2017 г. 9:43:58;249.2324740000;0.5258180000;391466;473.9900003423;sell;Lisiyjeka;
19 декабря 2017 г. 9:43:58;249.2324740000;0.5258180000;391465;473.9900003423;buy;SphinkS;
19 декабря 2017 г. 15:07:57;232.0000000000;0.5000000000;399148;464.0000000000;buy;Zevs60;
19 декабря 2017 г. 15:07:57;232.0000000000;0.5000000000;399147;464.0000000000;sell;Lisiyjeka;
19 декабря 2017 г. 15:07:44;81.3019950000;0.1748430000;399140;465.0000000000;buy;Aslonger;
19 декабря 2017 г. 15:07:44;81.3019950000;0.1748430000;399139;465.0000000000;sell;Lisiyjeka;
19 декабря 2017 г. 18:51:47;366.4323560000;0.8142940000;403132;450.0000687712;buy;sereduk74;
19 декабря 2017 г. 18:51:47;366.4323560000;0.8142940000;403131;450.0000687712;sell;dinik;
19 декабря 2017 г. 18:47:49;1883.5676450000;4.1857060000;403062;449.9999868600;buy;sereduk74;
19 декабря 2017 г. 18:47:49;1883.5676450000;4.1857060000;403061;449.9999868600;sell;dinik;
19 декабря 2017 г. 18:47:49;1.0000000000;0.0022220000;403060;450.0450045005;buy;cpp1PP;
19 декабря 2017 г. 18:47:49;1.0000000000;0.0022220000;403059;450.0450045005;sell;dinik;
19 декабря 2017 г. 18:47:03;1276.5789520000;2.8305520000;403046;451.0000000000;buy;sera27;
19 декабря 2017 г. 18:47:03;1276.5789520000;2.8305520000;403045;451.0000000000;sell;dinik;
19 декабря 2017 г. 18:46:44;938.4472660000;1.9815190000;403042;473.5999331826;buy;Aiderich;
19 декабря 2017 г. 18:46:44;938.4472660000;1.9815190000;403041;473.5999331826;sell;dinik;
19 декабря 2017 г. 18:32:24;473.7000000000;1.0000000000;402872;473.7000000000;sell;Matro;
19 декабря 2017 г. 18:32:24;473.7000000000;1.0000000000;402871;473.7000000000;buy;UrsulDima;
19 декабря 2017 г. 18:09:50;1429.5527340000;3.0184810000;402534;473.6000438631;sell;Lisiyjeka;
19 декабря 2017 г. 18:09:50;1429.5527340000;3.0184810000;402533;473.6000438631;buy;Aiderich;
19 декабря 2017 г. 19:12:16;1948.1500000000;4.1450000000;403412;470.0000000000;sell;Lexir;
19 декабря 2017 г. 19:12:16;1948.1500000000;4.1450000000;403411;470.0000000000;buy;darienko;
19 декабря 2017 г. 18:52:49;79.6102010000;0.1797070000;403150;443.0000000000;buy;merkyrij;
19 декабря 2017 г. 18:52:49;79.6102010000;0.1797070000;403149;443.0000000000;sell;dinik;
19 декабря 2017 г. 21:34:31;695.0413010000;1.4788110000;405990;470.0000885847;sell;Lexir;
19 декабря 2017 г. 21:34:31;695.0413010000;1.4788110000;405989;470.0000885847;buy;ankka1981;
19 декабря 2017 г. 21:34:31;248.7706990000;0.5294120000;405988;469.9000003778;sell;Matro;
19 декабря 2017 г. 21:34:31;248.7706990000;0.5294120000;405987;469.9000003778;buy;ankka1981;
20 декабря 2017 г. 7:33:19;80.2000000000;0.2000000000;409612;401.0000000000;buy;puma;
20 декабря 2017 г. 7:33:19;80.2000000000;0.2000000000;409611;401.0000000000;sell;karamba1900;
20 декабря 2017 г. 7:32:36;15.4000000000;0.0350000000;409604;440.0000000000;buy;kuzniak;
20 декабря 2017 г. 7:32:36;15.4000000000;0.0350000000;409603;440.0000000000;sell;karamba1900;
20 декабря 2017 г. 7:32:36;664.4000000000;1.5100000000;409602;440.0000000000;buy;glitash;
20 декабря 2017 г. 7:32:36;664.4000000000;1.5100000000;409601;440.0000000000;sell;karamba1900;
20 декабря 2017 г. 7:32:15;806.3897990000;1.8202930000;409594;443.0000000000;buy;merkyrij;
20 декабря 2017 г. 7:32:15;806.3897990000;1.8202930000;409593;443.0000000000;sell;karamba1900;
20 декабря 2017 г. 7:32:08;48.3849480000;0.1083410000;409590;446.5986837855;buy;cpp1PP;
20 декабря 2017 г. 7:32:08;48.3849480000;0.1083410000;409589;446.5986837855;sell;karamba1900;
20 декабря 2017 г. 7:32:08;49.5063140000;0.1108520000;409588;446.5982932198;buy;cpp1PP;
20 декабря 2017 г. 7:32:08;49.5063140000;0.1108520000;409587;446.5982932198;sell;karamba1900;
20 декабря 2017 г. 7:31:58;270.0000000000;0.6000000000;409580;450.0000000000;buy;sereduk74;
20 декабря 2017 г. 7:31:58;270.0000000000;0.6000000000;409579;450.0000000000;sell;karamba1900;
20 декабря 2017 г. 7:31:46;902.0000000000;2.0000000000;409574;451.0000000000;buy;Lexir;
20 декабря 2017 г. 7:31:46;902.0000000000;2.0000000000;409573;451.0000000000;sell;karamba1900;
20 декабря 2017 г. 14:13:07;1270.2818440000;2.8291360000;418288;448.9999222377;sell;sera27;
20 декабря 2017 г. 14:13:07;1270.2818440000;2.8291360000;418287;448.9999222377;buy;kameta;
20 декабря 2017 г. 14:13:07;0.0002200000;0.0000010000;418285;220.0000000000;buy;kameta;
