pub_date;amnt_base;amnt_trade;id;price;type;user;
18 декабря 2017 г. 15:50:34;0.0030340000;0.1943440000;375341;0.0156114930;sell;akinaklazer;
18 декабря 2017 г. 16:09:49;0.0009900000;0.0634000000;375938;0.0156151420;buy;kent64;
18 декабря 2017 г. 16:09:49;0.0009900000;0.0634000000;375937;0.0156151420;sell;sergio21;
18 декабря 2017 г. 16:05:17;0.0036330000;0.2327350000;375828;0.0156100286;sell;akinaklazer;
18 декабря 2017 г. 16:05:17;0.0036330000;0.2327350000;375827;0.0156100286;buy;kurwacoin;
18 декабря 2017 г. 16:03:21;0.0082860000;0.5308130000;375728;0.0156100171;sell;akinaklazer;
18 декабря 2017 г. 16:03:21;0.0082860000;0.5308130000;375727;0.0156100171;buy;kurwacoin;
18 декабря 2017 г. 16:03:05;0.0099950000;0.6402940000;375716;0.0156100166;sell;akinaklazer;
18 декабря 2017 г. 16:03:05;0.0099950000;0.6402940000;375715;0.0156100166;buy;kurwacoin;
18 декабря 2017 г. 16:01:56;0.0174530000;1.1180650000;375680;0.0156100048;sell;akinaklazer;
18 декабря 2017 г. 16:01:56;0.0174530000;1.1180650000;375679;0.0156100048;buy;kurwacoin;
18 декабря 2017 г. 16:01:54;0.0055320000;0.3544160000;375678;0.0156087761;sell;akinaklazer;
18 декабря 2017 г. 16:01:54;0.0055320000;0.3544160000;375677;0.0156087761;buy;marvin42;
18 декабря 2017 г. 16:01:51;0.0067100000;0.4298520000;375676;0.0156100239;sell;akinaklazer;
18 декабря 2017 г. 16:01:51;0.0067100000;0.4298520000;375675;0.0156100239;buy;sergio21;
18 декабря 2017 г. 16:01:26;0.0165800000;1.0621390000;375656;0.0156100096;sell;akinaklazer;
18 декабря 2017 г. 16:01:26;0.0165800000;1.0621390000;375655;0.0156100096;buy;kurwacoin;
18 декабря 2017 г. 16:00:55;0.0157490000;1.0089040000;375648;0.0156100085;sell;akinaklazer;
18 декабря 2017 г. 16:00:55;0.0157490000;1.0089040000;375647;0.0156100085;buy;kurwacoin;
18 декабря 2017 г. 16:00:26;0.0091820000;0.5882120000;375638;0.0156100182;sell;akinaklazer;
18 декабря 2017 г. 16:00:26;0.0091820000;0.5882120000;375637;0.0156100182;buy;kurwacoin;
18 декабря 2017 г. 16:00:05;0.0057790000;0.3702110000;375632;0.0156100170;sell;akinaklazer;
