pub_date;amnt_base;amnt_trade;id;price;type;user
3 января 2018 г. 12:18:53;0.0016800000;4.0000000000;674441;0.0004200000;buy;ruzo707;
3 января 2018 г. 12:18:53;0.0016800000;4.0000000000;674440;0.0004200000;sell;ilyaBS;
3 января 2018 г. 13:57:27;0.0001000000;0.1677060000;676289;0.0005962815;sell;sera27;
6 января 2018 г. 22:29:35;0.0007140000;1.2000000000;762485;0.0005950000;sell;Zhurf;
6 января 2018 г. 22:29:35;0.0007140000;1.2000000000;762484;0.0005950000;buy;tami;
7 января 2018 г. 18:02:08;0.0000570000;0.1035810000;781787;0.0005502939;sell;xzey;
7 января 2018 г. 18:53:31;0.0000570000;0.0957470000;783253;0.0005953189;sell;Zhurf;
8 января 2018 г. 1:40:51;0.0003090000;0.5200000000;792631;0.0005942307;sell;Zhurf;
8 января 2018 г. 1:40:51;0.0003090000;0.5200000000;792630;0.0005942307;buy;alex13alex;
9 января 2018 г. 14:47:18;0.0000470000;0.0888520000;822374;0.0005289695;sell;garikmobi;
11 января 2018 г. 7:39:47;0.0004100000;0.9995000000;861084;0.0004102051;buy;ruzo707;
11 января 2018 г. 7:39:47;0.0004100000;0.9995000000;861083;0.0004102051;sell;uustim;
12 января 2018 г. 17:36:08;0.0005680000;0.9540530000;889410;0.0005953547;sell;Zhurf;
12 января 2018 г. 17:36:08;0.0005680000;0.9540530000;889409;0.0005953547;buy;UncleSam;
13 января 2018 г. 10:13:30;0.0000820000;0.1974870000;898256;0.0004152172;sell;marchel;
13 января 2018 г. 10:11:58;0.0004630000;1.1214800000;898236;0.0004128473;sell;marchel;
13 января 2018 г. 10:11:58;0.0004630000;1.1214800000;898235;0.0004128473;buy;fufufufufu;
13 января 2018 г. 10:10:42;0.0011890000;2.8789330000;898214;0.0004130002;buy;ruzo707;
13 января 2018 г. 10:10:42;0.0011890000;2.8789330000;898213;0.0004130002;sell;marchel;
13 января 2018 г. 14:57:51;0.0011400000;1.9000000000;902296;0.0006000000;sell;core;
13 января 2018 г. 14:57:51;0.0011400000;1.9000000000;902295;0.0006000000;buy;Joy95;
13 января 2018 г. 15:53:37;0.0000600000;0.1000000000;903054;0.0006000000;sell;core;
15 января 2018 г. 12:31:53;0.0017900000;2.9592370000;929994;0.0006048856;buy;stur;
15 января 2018 г. 12:31:53;0.0017900000;2.9592370000;929993;0.0006048856;sell;aleks78;
16 января 2018 г. 11:45:29;0.0004760000;0.7869000000;948048;0.0006049053;buy;stur;
16 января 2018 г. 11:45:29;0.0004760000;0.7869000000;948047;0.0006049053;sell;Theurvaeth;
16 января 2018 г. 14:07:58;0.0000010000;0.0013140000;952649;0.0007610350;sell;ValeraIkar;
16 января 2018 г. 20:53:20;0.0000620000;0.1187840000;960725;0.0005219558;sell;VKAleX;
17 января 2018 г. 19:01:34;0.0000710000;0.1396770000;981905;0.0005083156;sell;fufufufufu;
17 января 2018 г. 23:52:00;0.0001420000;0.2775000000;989044;0.0005117117;buy;sergei0207;
17 января 2018 г. 23:52:00;0.0001420000;0.2775000000;989043;0.0005117117;sell;Theurvaeth;
20 января 2018 г. 18:46:02;0.0006200000;1.5091300000;1033346;0.0004108327;buy;ruzo707;
20 января 2018 г. 18:46:02;0.0006200000;1.5091300000;1033345;0.0004108327;sell;GotovoKPD;
20 января 2018 г. 21:51:30;0.0000010000;0.0017270000;1035425;0.0005790387;sell;ruzo707;
20 января 2018 г. 21:22:47;0.0009420000;1.5692150000;1035190;0.0006003001;buy;Nionia;
20 января 2018 г. 21:22:47;0.0009420000;1.5692150000;1035189;0.0006003001;sell;fufufufufu;
20 января 2018 г. 21:20:27;0.0005090000;0.8490580000;1035166;0.0005994879;sell;Bella;
20 января 2018 г. 21:20:27;0.0005090000;0.8490580000;1035165;0.0005994879;buy;Nionia;
20 января 2018 г. 21:18:27;0.0000470000;0.0888080000;1035148;0.0005292316;sell;mur4ik91;
24 января 2018 г. 17:53:01;0.0005800000;1.0000000000;1084110;0.0005800000;sell;Cromwell;
24 января 2018 г. 17:53:01;0.0005800000;1.0000000000;1084109;0.0005800000;buy;DEI;
25 января 2018 г. 22:22:24;0.0003570000;0.8688510000;1095720;0.0004108874;sell;NikkoEffe;
25 января 2018 г. 22:22:24;0.0003570000;0.8688510000;1095719;0.0004108874;buy;fufufufufu;
25 января 2018 г. 22:21:54;0.0008220000;2.0000000000;1095718;0.0004110000;buy;vitbit;
25 января 2018 г. 22:21:54;0.0008220000;2.0000000000;1095717;0.0004110000;sell;NikkoEffe;
26 января 2018 г. 18:17:44;0.0000220000;0.0429790000;1103862;0.0005118778;sell;flanek;
27 января 2018 г. 20:29:25;0.0011640000;2.8310290000;1111330;0.0004111579;buy;ruzo707;
27 января 2018 г. 20:29:25;0.0011640000;2.8310290000;1111329;0.0004111579;sell;vikianush;
28 января 2018 г. 18:53:27;0.0011580000;2.0000000000;1119938;0.0005790000;sell;Zhurf;
28 января 2018 г. 18:53:27;0.0011580000;2.0000000000;1119937;0.0005790000;buy;Sobischansky;
28 января 2018 г. 21:12:37;0.0003810000;0.6580310000;1121016;0.0005790000;sell;Zhurf;
28 января 2018 г. 21:12:37;0.0003810000;0.6580310000;1121015;0.0005790000;buy;Sobischansky;
29 января 2018 г. 11:04:33;0.0004140000;1.0052190000;1124990;0.0004118505;buy;ruzo707;
29 января 2018 г. 11:04:32;0.0004140000;1.0052190000;1124989;0.0004118505;sell;Kajan;
30 января 2018 г. 21:25:26;0.0020300000;4.8310570000;1141478;0.0004201978;buy;ruzo707;
30 января 2018 г. 21:25:26;0.0020300000;4.8310570000;1141477;0.0004201978;sell;medoglyad;
1 февраля 2018 г. 11:25:05;0.0000120000;0.0271280000;1156012;0.0004423473;sell;ArtezianMirror;
1 февраля 2018 г. 15:17:34;0.0000060000;0.0100070000;1159779;0.0005995802;sell;fufufufufu;
4 февраля 2018 г. 12:56:04;0.0011460000;2.0100350000;1208970;0.0005701393;sell;Cromwell;
4 февраля 2018 г. 12:56:04;0.0011460000;2.0100350000;1208969;0.0005701393;buy;wadul;
4 февраля 2018 г. 12:55:03;0.0002700000;0.4739940000;1208958;0.0005696274;sell;RuslanKalikov;
4 февраля 2018 г. 12:55:03;0.0002700000;0.4739940000;1208957;0.0005696274;buy;wadul;
5 февраля 2018 г. 22:17:55;0.0001960000;0.3405390000;1230990;0.0005755581;sell;Zhurf;
5 февраля 2018 г. 22:17:55;0.0001960000;0.3405390000;1230989;0.0005755581;buy;evrosila;
5 февраля 2018 г. 22:52:27;0.0008130000;1.4144610000;1232688;0.0005747772;buy;evrosila;
5 февраля 2018 г. 22:52:27;0.0008130000;1.4144610000;1232687;0.0005747772;sell;btccoin;
6 февраля 2018 г. 15:05:55;0.0000060000;0.0101200000;1245852;0.0005928853;sell;ValeraIkar;
7 февраля 2018 г. 12:09:52;0.0006120000;0.8751210000;1261014;0.0006993318;sell;RuslanKalikov;
7 февраля 2018 г. 12:09:52;0.0006120000;0.8751210000;1261013;0.0006993318;buy;AlexTyo;
