pub_date;amnt_base;amnt_trade;id;price;type;user;
17 הוךאבנÿ 2017 ד. 15:43:35;8.8177980000;0.0178860000;353027;493.0000000000;buy;BogdanLO;
17 הוךאבנÿ 2017 ד. 15:23:43;9.4020000000;0.0200000000;352358;470.1000000000;sell;andrey678;
17 הוךאבנÿ 2017 ד. 15:23:43;9.4020000000;0.0200000000;352357;470.1000000000;buy;Stas9987;
17 הוךאבנÿ 2017 ד. 16:24:44;10.8289200000;0.0220100000;354204;492.0000000000;sell;NEVIL;
17 הוךאבנÿ 2017 ד. 16:24:44;10.8289200000;0.0220100000;354203;492.0000000000;buy;misha1985;
17 הוךאבנÿ 2017 ד. 16:24:44;9.8350800000;0.0199900000;354202;492.0000000000;sell;Stas9987;
17 הוךאבנÿ 2017 ד. 16:24:44;9.8350800000;0.0199900000;354201;492.0000000000;buy;misha1985;
17 הוךאבנÿ 2017 ד. 17:37:35;2.6361310000;0.0053580000;356190;491.9990668160;buy;slavkoif;
17 הוךאבנÿ 2017 ד. 17:37:35;2.6361310000;0.0053580000;356189;491.9990668160;sell;Matro;
17 הוךאבנÿ 2017 ד. 17:34:37;20.6536260000;0.0419790000;356084;491.9989994997;sell;misha1985;
17 הוךאבנÿ 2017 ד. 17:34:37;20.6536260000;0.0419790000;356083;491.9989994997;buy;slavkoif;
17 הוךאבנÿ 2017 ד. 17:34:37;29.5465080000;0.0600540000;356082;491.9990008992;sell;NEVIL;
17 הוךאבנÿ 2017 ד. 17:34:37;29.5465080000;0.0600540000;356081;491.9990008992;buy;slavkoif;
18 הוךאבנÿ 2017 ד. 7:40:20;1.0000000000;0.0021270000;367392;470.1457451810;buy;cpp1PP;
18 הוךאבנÿ 2017 ד. 7:40:20;1.0000000000;0.0021270000;367391;470.1457451810;sell;sanek1979;
18 הוךאבנÿ 2017 ד. 9:04:05;183.4273860000;0.3936210000;368032;466.0000000000;buy;Theurvaeth;
18 הוךאבנÿ 2017 ד. 9:04:05;183.4273860000;0.3936210000;368031;466.0000000000;sell;maz85;
18 הוךאבנÿ 2017 ד. 10:45:17;123.0240000000;0.2640000000;369366;466.0000000000;sell;maz85;
18 הוךאבנÿ 2017 ד. 10:45:17;123.0240000000;0.2640000000;369365;466.0000000000;buy;Zevs60;
18 הוךאבנÿ 2017 ד. 10:53:34;0.2279010000;0.0004850000;369514;469.8989690722;sell;sanek1979;
18 הוךאבנÿ 2017 ד. 10:53:34;0.2279010000;0.0004850000;369513;469.8989690722;buy;JaneDavis;
18 הוךאבנÿ 2017 ד. 10:53:34;0.0228340000;0.0000490000;369511;466.0000000000;buy;JaneDavis;
18 הוךאבנÿ 2017 ד. 13:16:40;2.6622550000;0.0056630000;372240;470.1138972276;buy;JaneDavis;
18 הוךאבנÿ 2017 ד. 13:16:40;2.6622550000;0.0056630000;372239;470.1138972276;sell;alinacoin;
18 הוךאבנÿ 2017 ד. 15:38:31;129.2926810000;0.2638680000;375094;489.9899987873;buy;maddmax77;
18 הוךאבנÿ 2017 ד. 15:38:31;129.2926810000;0.2638680000;375093;489.9899987873;sell;Zevs60;
18 הוךאבנÿ 2017 ד. 15:33:27;0.4946430000;0.0010100000;374992;489.7455445545;sell;sanyok523;
18 הוךאבנÿ 2017 ד. 15:33:27;0.4946430000;0.0010100000;374991;489.7455445545;buy;maddmax77;
18 הוךאבנÿ 2017 ד. 15:33:27;429.0822500000;0.8756960000;374990;489.9899622700;sell;ankka1981;
18 הוךאבנÿ 2017 ד. 15:33:27;429.0822500000;0.8756960000;374989;489.9899622700;buy;maddmax77;
18 הוךאבנÿ 2017 ד. 16:46:48;192.7738260000;0.3934240000;376808;489.9900006100;buy;maddmax77;
18 הוךאבנÿ 2017 ד. 16:46:48;192.7738260000;0.3934240000;376807;489.9900006100;sell;Theurvaeth;
18 הוךאבנÿ 2017 ד. 16:35:39;35.5930020000;0.0726400000;376640;489.9917676211;buy;maddmax77;
18 הוךאבנÿ 2017 ד. 16:35:39;35.5930020000;0.0726400000;376639;489.9917676211;sell;vanya24;
18 הוךאבנÿ 2017 ד. 17:29:27;192.7434460000;0.3933620000;377756;489.9899990340;buy;maddmax77;
18 הוךאבנÿ 2017 ד. 17:29:27;192.7434460000;0.3933620000;377755;489.9899990340;sell;tolkoton81;
18 הוךאבנÿ 2017 ד. 21:05:10;317.5175880000;0.6813680000;382004;466.0001467636;buy;Theurvaeth;
