pub_date;amnt_base;amnt_trade;id;price;type;user
16 декабря 2017 г. 18:39:21;60.8327150000;0.7799070000;329536;77.9999602517;sell;gladkovishe
16 декабря 2017 г. 18:39:21;60.8327150000;0.7799070000;329535;77.9999602517;buy;kardan3836
16 декабря 2017 г. 18:38:09;78.0000000000;1.0000000000;329470;78.0000000000;buy;lataychuk
16 декабря 2017 г. 18:38:09;78.0000000000;1.0000000000;329469;78.0000000000;sell;gladkovishe
16 декабря 2017 г. 18:11:46;10.4000000000;0.1300160000;329044;79.9901550578;sell;jorik1974
16 декабря 2017 г. 18:11:46;10.4000000000;0.1300160000;329043;79.9901550578;buy;makstit
16 декабря 2017 г. 18:11:42;84.4710400000;1.0560200000;329040;79.9900001894;sell;jorik1974
16 декабря 2017 г. 18:11:42;84.4710400000;1.0560200000;329039;79.9900001894;buy;Yurchik
16 декабря 2017 г. 18:06:45;720.0000000000;9.0000000000;328712;80.0000000000;sell;sereduk74
16 декабря 2017 г. 18:06:45;720.0000000000;9.0000000000;328711;80.0000000000;buy;bandit00101
16 декабря 2017 г. 17:42:49;207.7182460000;2.5964780000;327736;80.0000023108;sell;sereduk74
16 декабря 2017 г. 17:42:49;207.7182460000;2.5964780000;327735;80.0000023108;buy;vasli77
16 декабря 2017 г. 17:42:49;32.2817540000;0.4035220000;327734;79.9999851309;sell;MaksDenisenko
16 декабря 2017 г. 17:42:49;32.2817540000;0.4035220000;327733;79.9999851309;buy;vasli77
16 декабря 2017 г. 17:39:42;62.1182460000;0.7764780000;327636;80.0000077272;sell;MaksDenisenko
16 декабря 2017 г. 17:39:42;62.1182460000;0.7764780000;327635;80.0000077272;buy;Kyzymyshyn
16 декабря 2017 г. 17:39:42;1677.4588740000;20.9682360000;327634;79.9999997139;sell;shurikp
16 декабря 2017 г. 17:39:42;1677.4588740000;20.9682360000;327633;79.9999997139;buy;Kyzymyshyn
16 декабря 2017 г. 17:38:09;38.2308750000;0.4997500000;327536;76.5000000000;buy;viktor001
16 декабря 2017 г. 17:38:09;38.2308750000;0.4997500000;327535;76.5000000000;sell;domining2017
16 декабря 2017 г. 17:37:38;79.0000000000;1.0000000000;327514;79.0000000000;sell;melig
16 декабря 2017 г. 17:37:38;79.0000000000;1.0000000000;327513;79.0000000000;buy;Kyzymyshyn
16 декабря 2017 г. 17:37:38;90.0600000000;1.1400000000;327512;79.0000000000;sell;MaksDenisenko
16 декабря 2017 г. 17:37:38;90.0600000000;1.1400000000;327511;79.0000000000;buy;Kyzymyshyn
16 декабря 2017 г. 17:37:38;157.9210000000;1.9990000000;327510;79.0000000000;sell;kuzniak
16 декабря 2017 г. 17:37:38;157.9210000000;1.9990000000;327509;79.0000000000;buy;Kyzymyshyn
16 декабря 2017 г. 17:37:38;711.0000000000;9.0000000000;327508;79.0000000000;sell;sereduk74
16 декабря 2017 г. 17:37:38;711.0000000000;9.0000000000;327507;79.0000000000;buy;Kyzymyshyn
16 декабря 2017 г. 17:37:16;78.0000000000;1.0000000000;327464;78.0000000000;sell;daruda
16 декабря 2017 г. 17:37:16;78.0000000000;1.0000000000;327463;78.0000000000;buy;Kyzymyshyn
16 декабря 2017 г. 17:37:16;78.0000000000;1.0000000000;327462;78.0000000000;sell;daruda
16 декабря 2017 г. 17:37:16;78.0000000000;1.0000000000;327461;78.0000000000;buy;Kyzymyshyn
16 декабря 2017 г. 17:23:13;79.0000000000;1.0000000000;326934;79.0000000000;sell;sereduk74
16 декабря 2017 г. 17:23:13;79.0000000000;1.0000000000;326933;79.0000000000;buy;grek83
16 декабря 2017 г. 17:06:25;296.6316840000;3.7981010000;326326;78.0999989205;sell;JaneSan
16 декабря 2017 г. 17:06:25;296.6316840000;3.7981010000;326325;78.0999989205;buy;sibastian
16 декабря 2017 г. 17:06:18;740.6737460000;9.4946000000;326322;78.0100000000;sell;staser85
16 декабря 2017 г. 17:06:18;740.6737460000;9.4946000000;326321;78.0100000000;buy;sibastian
16 декабря 2017 г. 17:06:06;234.0000000000;3.0000000000;326314;78.0000000000;sell;melig
16 декабря 2017 г. 17:06:06;234.0000000000;3.0000000000;326313;78.0000000000;buy;sibastian
16 декабря 2017 г. 17:06:06;78.0000000000;1.0000000000;326312;78.0000000000;sell;julli1
16 декабря 2017 г. 17:06:06;78.0000000000;1.0000000000;326311;78.0000000000;buy;sibastian
16 декабря 2017 г. 17:06:06;390.0000000000;5.0000000000;326310;78.0000000000;sell;MaksDenisenko
16 декабря 2017 г. 17:06:06;390.0000000000;5.0000000000;326309;78.0000000000;buy;sibastian
16 декабря 2017 г. 17:06:06;780.0000000000;10.0000000000;326308;78.0000000000;sell;sereduk74
16 декабря 2017 г. 17:06:06;780.0000000000;10.0000000000;326307;78.0000000000;buy;sibastian
16 декабря 2017 г. 17:05:51;231.0000000000;3.0000000000;326298;77.0000000000;sell;melig
16 декабря 2017 г. 17:05:51;231.0000000000;3.0000000000;326297;77.0000000000;buy;sibastian
16 декабря 2017 г. 17:05:51;1155.0000000000;15.0000000000;326296;77.0000000000;sell;sereduk74
16 декабря 2017 г. 17:05:51;1155.0000000000;15.0000000000;326295;77.0000000000;buy;sibastian
