pub_date;amnt_base;amnt_trade;id;price;type;user;
16 הוךאבנÿ 2017 ד. 20:25:21;0.0051000000;0.3635260000;333286;0.0140292579;buy;sera27;
16 הוךאבנÿ 2017 ד. 20:25:21;0.0051000000;0.3635260000;333285;0.0140292579;sell;Ruslandm;
16 הוךאבנÿ 2017 ד. 20:25:21;0.0005120000;0.0364740000;333284;0.0140373965;buy;ruzo707;
16 הוךאבנÿ 2017 ד. 20:25:21;0.0005120000;0.0364740000;333283;0.0140373965;sell;Ruslandm;
16 הוךאבנÿ 2017 ד. 20:08:05;0.0026990000;0.1799000000;332902;0.0150027793;sell;dsens;
16 הוךאבנÿ 2017 ד. 20:08:05;0.0026990000;0.1799000000;332901;0.0150027793;buy;ziumin;
16 הוךאבנÿ 2017 ד. 18:39:44;0.0005120000;0.0284760000;329588;0.0179800534;sell;ruzo707;
16 הוךאבנÿ 2017 ד. 18:39:44;0.0005120000;0.0284760000;329587;0.0179800534;buy;artdv;
16 הוךאבנÿ 2017 ד. 17:59:06;0.0005130000;0.0318320000;328412;0.0161158583;buy;ziumin;
16 הוךאבנÿ 2017 ד. 17:59:06;0.0005130000;0.0318320000;328411;0.0161158583;sell;artdv;
16 הוךאבנÿ 2017 ד. 17:21:17;0.0017620000;0.1093910000;326866;0.0161073580;buy;ziumin;
16 הוךאבנÿ 2017 ד. 17:21:17;0.0017620000;0.1093910000;326865;0.0161073580;sell;greezly;
16 הוךאבנÿ 2017 ד. 21:25:56;0.0002430000;0.0173190000;335074;0.0140308332;buy;sera27;
16 הוךאבנÿ 2017 ד. 21:25:56;0.0002430000;0.0173190000;335073;0.0140308332;sell;boris01;
16 הוךאבנÿ 2017 ד. 23:29:52;0.0028150000;0.2009000000;338400;0.0140119462;buy;ALPH;
16 הוךאבנÿ 2017 ד. 23:29:52;0.0028150000;0.2009000000;338399;0.0140119462;sell;imatveyi1;
17 הוךאבנÿ 2017 ד. 0:16:41;0.0009890000;0.0706070000;339444;0.0140071098;buy;ALPH;
17 הוךאבנÿ 2017 ד. 0:16:41;0.0009890000;0.0706070000;339443;0.0140071098;sell;djominov;
17 הוךאבנÿ 2017 ד. 8:04:08;0.0073860000;0.5271680000;342710;0.0140107139;buy;ALPH;
17 הוךאבנÿ 2017 ד. 8:04:08;0.0073860000;0.5271680000;342709;0.0140107139;sell;Faider13;
17 הוךאבנÿ 2017 ד. 9:45:18;0.0054840000;0.3063820000;343738;0.0178992238;sell;aad977;
17 הוךאבנÿ 2017 ד. 9:45:18;0.0054840000;0.3063820000;343737;0.0178992238;buy;k0fe;
17 הוךאבנÿ 2017 ד. 10:58:10;0.0009290000;0.0639750000;345136;0.0145212974;buy;ruzo707;
17 הוךאבנÿ 2017 ד. 10:58:10;0.0009290000;0.0639750000;345135;0.0145212974;sell;maestro28;
17 הוךאבנÿ 2017 ד. 10:04:44;0.0161550000;1.1141230000;344136;0.0145001943;buy;ziumin;
17 הוךאבנÿ 2017 ד. 10:04:44;0.0161550000;1.1141230000;344135;0.0145001943;sell;Topaloff;
17 הוךאבנÿ 2017 ד. 12:44:20;0.0006610000;0.0440590000;348206;0.0150026101;buy;ruzo707;
